nid,ifid,raw_T,scbr,delta,flag
2,2, 297174905600000, 0.023175, 0.030000, 0
3,0, 297174905600000, 0.033902, 0.030000, 0
3,1, 297174905600000, 0.025330, 0.030000, 0
3,2, 297174905600000, 0.022590, 0.030000, 0
0,0, 297174905800000, 0.039116, 0.030000, 0
0,1, 297174905800000, 0.026428, 0.030000, 0
0,2, 297174905800000, 0.026827, 0.030000, 0
1,0, 297174905800000, 0.034949, 0.030000, 0
1,1, 297174905800000, 0.021232, 0.030000, 0
1,2, 297174905800000, 0.020846, 0.030000, 0
2,0, 297174905800000, 0.036786, 0.030000, 0
2,1, 297174905800000, 0.027340, 0.030000, 0
2,2, 297174905800000, 0.026188, 0.030000, 0
3,0, 297174905800000, 0.037291, 0.030000, 0
3,1, 297174905800000, 0.021425, 0.030000, 0
3,2, 297174905800000, 0.021515, 0.030000, 0
0,0, 297174906000000, 0.036978, 0.030000, 0
0,1, 297174906000000, 0.027814, 0.030000, 0
0,2, 297174906000000, 0.026554, 0.030000, 0
1,0, 297174906000000, 0.034895, 0.030000, 0
1,1, 297174906000000, 0.020836, 0.030000, 0
1,2, 297174906000000, 0.023563, 0.030000, 0
2,0, 297174906000000, 0.034353, 0.030000, 0
2,1, 297174906000000, 0.022430, 0.030000, 0
2,2, 297174906000000, 0.024774, 0.030000, 0
3,0, 297174906000000, 0.036065, 0.030000, 0
3,1, 297174906000000, 0.025313, 0.030000, 0
3,2, 297174906000000, 0.025358, 0.030000, 0
0,0, 297174906200000, 0.032989, 0.030000, 0
0,1, 297174906200000, 0.029967, 0.030000, 0
0,2, 297174906200000, 0.027877, 0.030000, 0
1,0, 297174906200000, 0.030487, 0.030000, 0
1,1, 297174906200000, 0.026478, 0.030000, 0
1,2, 297174906200000, 0.022001, 0.030000, 0
2,0, 297174906200000, 0.030217, 0.030000, 0
2,1, 297174906200000, 0.024355, 0.030000, 0
2,2, 297174906200000, 0.022607, 0.030000, 0
3,0, 297174906200000, 0.032533, 0.030000, 0
3,1, 297174906200000, 0.028716, 0.030000, 0
3,2, 297174906200000, 0.025819, 0.030000, 0
0,0, 297174906400000, 0.035375, 0.030000, 0
0,1, 297174906400000, 0.023743, 0.030000, 0
0,2, 297174906400000, 0.027078, 0.030000, 0
1,0, 297174906400000, 0.032664, 0.030000, 0
1,1, 297174906400000, 0.020539, 0.030000, 0
1,2, 297174906400000, 0.022681, 0.030000, 0
2,0, 297174906400000, 0.033988, 0.030000, 0
2,1, 297174906400000, 0.022397, 0.030000, 0
2,2, 297174906400000, 0.024443, 0.030000, 0
3,0, 297174906400000, 0.033686, 0.030000, 0
3,1, 297174906400000, 0.023118, 0.030000, 0
3,2, 297174906400000, 0.027509, 0.030000, 0
0,0, 297174906600000, 0.036567, 0.030000, 0
0,1, 297174906600000, 0.022092, 0.030000, 0
0,2, 297174906600000, 0.026679, 0.030000, 0
1,0, 297174906600000, 0.033752, 0.030000, 0
1,1, 297174906600000, 0.019030, 0.030000, 0
1,2, 297174906600000, 0.020100, 0.030000, 0
2,0, 297174906600000, 0.037334, 0.030000, 0
2,1, 297174906600000, 0.018499, 0.030000, 0
2,2, 297174906600000, 0.022442, 0.030000, 0
3,0, 297174906600000, 0.032803, 0.030000, 0
3,1, 297174906600000, 0.020319, 0.030000, 0
3,2, 297174906600000, 0.025435, 0.030000, 0
0,0, 297174906800000, 0.034244, 0.030000, 0
0,1, 297174906800000, 0.022726, 0.030000, 0
0,2, 297174906800000, 0.029440, 0.030000, 0
1,0, 297174906800000, 0.034296, 0.030000, 0
1,1, 297174906800000, 0.022655, 0.030000, 0
1,2, 297174906800000, 0.024650, 0.030000, 0
2,0, 297174906800000, 0.036087, 0.030000, 0
2,1, 297174906800000, 0.019469, 0.030000, 0
2,2, 297174906800000, 0.025861, 0.030000, 0
3,0, 297174906800000, 0.033822, 0.030000, 0
3,1, 297174906800000, 0.018920, 0.030000, 0
3,2, 297174906800000, 0.028817, 0.030000, 0
0,0, 297174907000000, 0.031622, 0.030000, 0
0,1, 297174907000000, 0.025963, 0.030000, 0
0,2, 297174907000000, 0.030780, 0.030000, 0
